exp_id,data_country,data_aggregation_type,data_resolution,data_note,model_model_name,model_lookback_window,model_prediction_length,result_quantile_loss_0.1,result_quantile_loss_0.5,result_quantile_loss_0.9,result_mae,result_mse,result_rmse
20240803-2960,nl,ind,60m,,chronos-t5-tiny,72,24,0.02977649473254569,0.10209476410122079,0.11488169568617616,0.20418952820244157,-1.0,0.4035759263784718
20240803-2960,nl,agg,60m,,chronos-t5-tiny,72,24,0.29148621933546776,0.6469019059584631,0.46919948439762604,1.2938038119169262,-1.0,1.904161147535476
20240803-2960,ge,ind,60m,,chronos-t5-tiny,72,24,0.08209053651776174,0.1685969884623764,0.10850715653541283,0.3371939769247528,-1.0,0.8648823228130651
20240803-2960,ge,agg,60m,,chronos-t5-tiny,72,24,1.1067691472848373,1.591433538490634,0.9176953712380788,3.182867076981268,-1.0,6.175599343642597
20240803-2960,ge,ind,30m,,chronos-t5-tiny,144,48,0.04215744382389776,0.10996716326176315,0.10063444870902667,0.2199343265235263,-1.0,0.5366697841289667
20240803-2960,ge,agg,30m,,chronos-t5-tiny,144,48,0.4834204859121674,0.9965735587924138,0.6698182781048712,1.9931471175848277,-1.0,3.6424411397553293
20240803-2960,ge,ind,15m,,chronos-t5-tiny,288,96,0.020943063186848465,0.08132832902198689,0.09644161177213505,0.16265665804397378,-1.0,0.3924876715589329
20240803-2960,ge,agg,15m,,chronos-t5-tiny,288,96,0.3759761429528843,0.7128095214927181,0.38223780774559457,1.4256190429854363,-1.0,2.5396410789897095
